Poll_ID,Pollster,Date,Parliament_ID,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
BY05171105W,INSA,2017-11-05,BY,37,17,10,8,4,13,NA
BT02171106Y,Forsa,2017-11-06,BT,32,21,10,11,9,12,NA
BT01171109I,Infratest dimap,2017-11-09,BT,30,21,11,12,9,13,NA
BY02171110X,Forsa,2017-11-10,BY,38,17,11,9,4,11,NA
BB02171110K,Forsa,2017-11-10,BB,22,25,6,5,18,18,NA
BT03171111O,Emnid,2017-11-11,BT,30,22,10,11,10,13,NA
BT02171113A,Forsa,2017-11-13,BT,32,20,10,12,9,12,NA
BB01171114L,Infratest dimap,2017-11-14,BB,22,23,6,7,17,20,NA
BT01171116J,Infratest dimap,2017-11-16,BT,31,21,11,11,10,12,NA
BT06171117E,Forschungsgruppe Wahlen,2017-11-17,BT,33,21,12,10,9,11,NA
BT03171118P,Emnid,2017-11-18,BT,31,21,11,10,9,13,NA
BT02171120C,Forsa,2017-11-20,BT,31,21,12,10,9,12,NA
BT02171120B,Forsa,2017-11-20,BT,32,20,11,12,8,12,NA
BT01171120K,Infratest dimap,2017-11-20,BT,32,22,11,10,10,11,NA
BT03171125Q,Emnid,2017-11-25,BT,33,22,10,9,10,11,NA
BE02171126I,Forsa,2017-11-26,BE,21,18,16,8,18,11,NA
BT02171127D,Forsa,2017-11-27,BT,33,19,12,10,9,11,NA
BT13171129O,YouGov,2017-11-29,BT,32,21,10,9,10,13,NA
BY04171130Y,GMS,2017-11-30,BY,37,15,10,8,3,14,NA
BT09171130B,Allensbach,2017-11-30,BT,33,21.5,11,10,9,11,NA
BT03171202R,Emnid,2017-12-02,BT,33,21,10,9,10,12,NA
BT02171204E,Forsa,2017-12-04,BT,34,20,13,8,9,10,NA
BT04171204V,GMS,2017-12-04,BT,32,21,10,10,10,13,NA
SN20171207W,IM Field,2017-12-07,SN,33,12,4,7,18,23,NA
BT01171207L,Infratest dimap,2017-12-07,BT,32,21,11,9,10,13,NA
BT06171208F,Forschungsgruppe Wahlen,2017-12-08,BT,32,23,12,8,9,12,NA
