Poll_ID,Parliament_ID,Parliament_Name,Pollster_ID,Pollster_Name,Date,n,Party_Name,Pct
BT09191119Y,BT,Bundestag,9,Allensbach,2019-11-19,1298,Gruene,21.5
BT09191016X,BT,Bundestag,9,Allensbach,2019-10-16,1238,Gruene,23.5
BT09190917W,BT,Bundestag,9,Allensbach,2019-09-17,1255,Gruene,22
BT09190821V,BT,Bundestag,9,Allensbach,2019-08-21,1262,Gruene,24
BT09190724U,BT,Bundestag,9,Allensbach,2019-07-24,1228,Gruene,23
BT09190621T,BT,Bundestag,9,Allensbach,2019-06-21,1273,Gruene,25
BT09190523S,BT,Bundestag,9,Allensbach,2019-05-23,1283,Gruene,17
BT09190418R,BT,Bundestag,9,Allensbach,2019-04-18,1305,Gruene,18
BT09190327Q,BT,Bundestag,9,Allensbach,2019-03-27,1198,Gruene,19
BT09190219P,BT,Bundestag,9,Allensbach,2019-02-19,1222,Gruene,18.5
BT09190123O,BT,Bundestag,9,Allensbach,2019-01-23,1249,Gruene,18
BT09181220N,BT,Bundestag,9,Allensbach,2018-12-20,1295,Gruene,19
BT09181130M,BT,Bundestag,9,Allensbach,2018-11-30,1242,Gruene,19
BT09181018L,BT,Bundestag,9,Allensbach,2018-10-18,1259,Gruene,15
BT09180918K,BT,Bundestag,9,Allensbach,2018-09-18,1258,Gruene,12.5
BT09180815J,BT,Bundestag,9,Allensbach,2018-08-15,1295,Gruene,12.5
BT09180717I,BT,Bundestag,9,Allensbach,2018-07-17,1295,Gruene,12
BT09180620H,BT,Bundestag,9,Allensbach,2018-06-20,1279,Gruene,11
BT09180517G,BT,Bundestag,9,Allensbach,2018-05-17,1253,Gruene,11
BT09180425F,BT,Bundestag,9,Allensbach,2018-04-25,1279,Gruene,11
BT09180321E,BT,Bundestag,9,Allensbach,2018-03-21,1256,Gruene,11
BT09180223D,BT,Bundestag,9,Allensbach,2018-02-23,1271,Gruene,12
BT09180125C,BT,Bundestag,9,Allensbach,2018-01-25,1221,Gruene,10.5
BT09171221B,BT,Bundestag,9,Allensbach,2017-12-21,1443,Gruene,11.5
BT09171130K,BT,Bundestag,9,Allensbach,2017-11-30,1299,Gruene,11
BT09171025J,BT,Bundestag,9,Allensbach,2017-10-25,1454,Gruene,9.5
BT09230126Q,BT,Bundestag,9,Allensbach,2023-01-26,1023,FDP,6
BT09221221P,BT,Bundestag,9,Allensbach,2022-12-21,1035,FDP,7.5
BT09221124O,BT,Bundestag,9,Allensbach,2022-11-24,1042,FDP,7
BT09221020N,BT,Bundestag,9,Allensbach,2022-10-20,1021,FDP,7
BT09220916M,BT,Bundestag,9,Allensbach,2022-09-16,1030,FDP,7
BT09220824L,BT,Bundestag,9,Allensbach,2022-08-24,1038,FDP,8
BT09220727K,BT,Bundestag,9,Allensbach,2022-07-27,1006,FDP,7
BT09220622J,BT,Bundestag,9,Allensbach,2022-06-22,1046,FDP,8
BT09220527I,BT,Bundestag,9,Allensbach,2022-05-27,1118,FDP,8
BT09220413H,BT,Bundestag,9,Allensbach,2022-04-13,1075,FDP,9
BT09220324G,BT,Bundestag,9,Allensbach,2022-03-24,1041,FDP,10.5
BT09220224F,BT,Bundestag,9,Allensbach,2022-02-24,1033,FDP,10.5
BT09220126E,BT,Bundestag,9,Allensbach,2022-01-26,1090,FDP,12.5
BT09211222D,BT,Bundestag,9,Allensbach,2021-12-22,1069,FDP,13
BT09211118C,BT,Bundestag,9,Allensbach,2021-11-18,1016,FDP,14
BT09211020B,BT,Bundestag,9,Allensbach,2021-10-20,1045,FDP,14
BT09210924Y,BT,Bundestag,9,Allensbach,2021-09-24,1554,FDP,10.5
BT09210908X,BT,Bundestag,9,Allensbach,2021-09-08,1258,FDP,9.5
BT09210828W,BT,Bundestag,9,Allensbach,2021-08-28,1038,FDP,10.5
BT09210819V,BT,Bundestag,9,Allensbach,2021-08-19,1018,FDP,11
BT09210728U,BT,Bundestag,9,Allensbach,2021-07-28,1243,FDP,12
BT09210720T,BT,Bundestag,9,Allensbach,2021-07-20,1028,FDP,12
BT09210616S,BT,Bundestag,9,Allensbach,2021-06-16,1070,FDP,11
BT09210519R,BT,Bundestag,9,Allensbach,2021-05-19,1027,FDP,10
BT09210421Q,BT,Bundestag,9,Allensbach,2021-04-21,1051,FDP,10
BT09210324P,BT,Bundestag,9,Allensbach,2021-03-24,1006,FDP,8.5
BT09210225O,BT,Bundestag,9,Allensbach,2021-02-25,1082,FDP,7
BT09210128N,BT,Bundestag,9,Allensbach,2021-01-28,1080,FDP,6.5
